question_id,year,exam_name,paper,section,question_number,marks,language,original_question_text,page_number,source_pdf_name,subject_id,subject_name,subject_confidence,classification_method,classification_reason,review_required,primary_topic_id,primary_topic,topic_confidence,topic_classification_reason,topic_review_required,reason_for_exclusion
BPSC-Q-000021,2023,68th BPSC Mains,GS 1,Section I,1,38,English,**Short Answer Questions (Compulsory - 38 Marks Total):**,3,68th-MainsGS-1.pdf,BPSC-SUB-01,"History, Art & Culture",0.78,two_pass_taxonomy_v1,Assigned default Subject domain based on general studies context; flagged for human review.,True,HIST-001,Freedom Movement & Revolts in Bihar,0.95,Matched History & Bihar Movement keywords.,False,Structural section/header text rather than actual question.
BPSC-Q-000027,2023,68th BPSC Mains,GS 1,Section I,2,38,English,**Long Answer Question (History & Movement):**,3,68th-MainsGS-1.pdf,BPSC-SUB-01,"History, Art & Culture",0.95,two_pass_taxonomy_v1,"Question addresses Indian and Bihar Freedom Movement, Art, Architecture, or History.",False,HIST-001,Freedom Movement & Revolts in Bihar,0.95,Matched History & Bihar Movement keywords.,False,Structural section/header text rather than actual question.
BPSC-Q-000030,2023,68th BPSC Mains,GS 1,Section I,3,38,English,**Long Answer Question (Art & Thinkers):**,3,68th-MainsGS-1.pdf,BPSC-SUB-01,"History, Art & Culture",0.78,two_pass_taxonomy_v1,Assigned default Subject domain based on general studies context; flagged for human review.,True,HIST-001,Freedom Movement & Revolts in Bihar,0.95,Matched History & Bihar Movement keywords.,False,Structural section/header text rather than actual question.
BPSC-Q-000033,2023,68th BPSC Mains,GS 1,Section I,4,38,English,**Short Answer Questions:**,3,68th-MainsGS-1.pdf,BPSC-SUB-01,"History, Art & Culture",0.78,two_pass_taxonomy_v1,Assigned default Subject domain based on general studies context; flagged for human review.,True,HIST-001,Freedom Movement & Revolts in Bihar,0.95,Matched History & Bihar Movement keywords.,False,Structural section/header text rather than actual question.
BPSC-Q-000039,2023,68th BPSC Mains,GS 1,Section I,5,38,English,**Long Answer Question:**,3,68th-MainsGS-1.pdf,BPSC-SUB-01,"History, Art & Culture",0.78,two_pass_taxonomy_v1,Assigned default Subject domain based on general studies context; flagged for human review.,True,HIST-001,Freedom Movement & Revolts in Bihar,0.95,Matched History & Bihar Movement keywords.,False,Structural section/header text rather than actual question.
BPSC-Q-000042,2023,68th BPSC Mains,GS 2,Section I,1,38,English,**Short Answer Questions:**,3,68th_BPSC_MAINS_GS_PAPER-II.pdf,BPSC-SUB-01,"History, Art & Culture",0.78,two_pass_taxonomy_v1,Assigned default Subject domain based on general studies context; flagged for human review.,True,HIST-001,Freedom Movement & Revolts in Bihar,0.95,Matched History & Bihar Movement keywords.,False,Structural section/header text rather than actual question.
BPSC-Q-000048,2023,68th BPSC Mains,GS 2,Section I,2,38,English,**Long Answer Question:**,3,68th_BPSC_MAINS_GS_PAPER-II.pdf,BPSC-SUB-01,"History, Art & Culture",0.78,two_pass_taxonomy_v1,Assigned default Subject domain based on general studies context; flagged for human review.,True,HIST-001,Freedom Movement & Revolts in Bihar,0.95,Matched History & Bihar Movement keywords.,False,Structural section/header text rather than actual question.
BPSC-Q-000050,2023,68th BPSC Mains,GS 2,Section I,3,38,English,**Short Answer Questions:**,3,68th_BPSC_MAINS_GS_PAPER-II.pdf,BPSC-SUB-01,"History, Art & Culture",0.78,two_pass_taxonomy_v1,Assigned default Subject domain based on general studies context; flagged for human review.,True,HIST-001,Freedom Movement & Revolts in Bihar,0.95,Matched History & Bihar Movement keywords.,False,Structural section/header text rather than actual question.
BPSC-Q-000056,2023,68th BPSC Mains,GS 2,Section I,4,38,English,**Long Answer Question:**,3,68th_BPSC_MAINS_GS_PAPER-II.pdf,BPSC-SUB-01,"History, Art & Culture",0.78,two_pass_taxonomy_v1,Assigned default Subject domain based on general studies context; flagged for human review.,True,HIST-001,Freedom Movement & Revolts in Bihar,0.95,Matched History & Bihar Movement keywords.,False,Structural section/header text rather than actual question.
BPSC-Q-000058,2023,68th BPSC Mains,GS 2,Section I,5,38,English,**Short Answer Questions:**,3,68th_BPSC_MAINS_GS_PAPER-II.pdf,BPSC-SUB-01,"History, Art & Culture",0.78,two_pass_taxonomy_v1,Assigned default Subject domain based on general studies context; flagged for human review.,True,HIST-001,Freedom Movement & Revolts in Bihar,0.95,Matched History & Bihar Movement keywords.,False,Structural section/header text rather than actual question.
