question_id,year,exam_name,paper,section,question_number,marks,language,original_question_text,page_number,source_pdf_name,subject_id,subject_name,subject_confidence,classification_method,classification_reason,review_required,secondary_subject,secondary_subject_confidence
BPSC-Q-000001,2022,67th BPSC Mains,GS 1,Section I,1,38,English,Discuss the main features of Santhal Uprising (1855-56). Why did it break out and what were its immediate consequences?,2,67thMainsGS1-2022.pdf,BPSC-SUB-01,"History, Art & Culture",0.95,two_pass_taxonomy_v1,"Question addresses Indian and Bihar Freedom Movement, Art, Architecture, or History.",False,,
BPSC-Q-000002,2022,67th BPSC Mains,GS 1,Section I,2,38,English,Analyze the main factors responsible for the Revolt of 1857 in Bihar with special emphasis on the role played by Babu Veer Kunwar Singh.,2,67thMainsGS1-2022.pdf,BPSC-SUB-01,"History, Art & Culture",0.95,two_pass_taxonomy_v1,"Question addresses Indian and Bihar Freedom Movement, Art, Architecture, or History.",False,,
BPSC-Q-000003,2022,67th BPSC Mains,GS 1,Section I,3,38,English,Evaluate the development of Western Education in Bihar from 1857 to 1947 and its role in building national political consciousness.,2,67thMainsGS1-2022.pdf,BPSC-SUB-01,"History, Art & Culture",0.95,two_pass_taxonomy_v1,"Question addresses Indian and Bihar Freedom Movement, Art, Architecture, or History.",False,,
BPSC-Q-000004,2022,67th BPSC Mains,GS 1,Section I,4,38,English,Critically examine the main features of Patna Kalam painting and contrast it with Pala Art.,2,67thMainsGS1-2022.pdf,BPSC-SUB-01,"History, Art & Culture",0.95,two_pass_taxonomy_v1,"Question addresses Indian and Bihar Freedom Movement, Art, Architecture, or History.",False,,
BPSC-Q-000005,2022,67th BPSC Mains,GS 1,Section I,5,38,English,Discuss the role of Swami Sahajanand Saraswati and the Bihar Provincial Kisan Sabha in agrarian mobilization.,2,67thMainsGS1-2022.pdf,BPSC-SUB-01,"History, Art & Culture",0.95,two_pass_taxonomy_v1,"Question addresses Indian and Bihar Freedom Movement, Art, Architecture, or History.",False,,
BPSC-Q-000006,2022,67th BPSC Mains,GS 1,Section I,6,38,English,"Trace the contribution of Bihar to the Quit India Movement 1942, detailing the activities of Azad Dasta under Jayaprakash Narayan.",2,67thMainsGS1-2022.pdf,BPSC-SUB-01,"History, Art & Culture",0.95,two_pass_taxonomy_v1,"Question addresses Indian and Bihar Freedom Movement, Art, Architecture, or History.",False,,
BPSC-Q-000007,2022,67th BPSC Mains,GS 1,Section I,7,38,English,Examine India's foreign policy stance during the Russia-Ukraine War. How has India balanced its strategic autonomy with Western pressure?,2,67thMainsGS1-2022.pdf,BPSC-SUB-06,Current Affairs & International Relations,0.95,two_pass_taxonomy_v1,"Question addresses International Relations, Contemporary Geopolitics, and Global Summits.",False,,
BPSC-Q-000008,2022,67th BPSC Mains,GS 1,Section I,8,38,English,"Evaluate the role and outcomes of the I2U2 (India, Israel, UAE, USA) grouping in fostering economic cooperation in West Asia.",2,67thMainsGS1-2022.pdf,BPSC-SUB-06,Current Affairs & International Relations,0.95,two_pass_taxonomy_v1,"Question addresses International Relations, Contemporary Geopolitics, and Global Summits.",False,,
BPSC-Q-000009,2022,67th BPSC Mains,GS 1,Section I,9,38,English,Discuss the significance of the 75th Anniversary of India's Independence (Azadi ka Amrit Mahotsav) and the vision for 'Amrit Kaal'.,2,67thMainsGS1-2022.pdf,BPSC-SUB-01,"History, Art & Culture",0.78,two_pass_taxonomy_v1,Assigned default Subject domain based on general studies context; flagged for human review.,True,,
BPSC-Q-000010,2022,67th BPSC Mains,GS 1,Section I,10,72,English,"Data interpretation questions on pie charts, line graphs, and statistical tables.",2,67thMainsGS1-2022.pdf,BPSC-SUB-07,Statistical Analysis & Data Interpretation,0.98,two_pass_taxonomy_v1,Question requires Quantitative Data Interpretation and Statistical Analysis.,False,,
BPSC-Q-000011,2022,67th BPSC Mains,GS 2,Section I,1,38,English,"""The President of India is an integral part of Parliament, but exercises executive power on advice."" Discuss the constitutional status and powers of the President of India.",2,67thMainsGS2-2022.pdf,BPSC-SUB-02,Polity & Governance,0.95,two_pass_taxonomy_v1,"Question addresses Constitutional provisions, Judicial principles, or Governance structures.",False,,
BPSC-Q-000012,2022,67th BPSC Mains,GS 2,Section I,2,38,English,"Critically analyze the working of Panchayati Raj Institutions in Bihar post 73rd Amendment, focusing on women reservation (50%) and financial autonomy.",2,67thMainsGS2-2022.pdf,BPSC-SUB-02,Polity & Governance,0.95,two_pass_taxonomy_v1,"Question addresses Constitutional provisions, Judicial principles, or Governance structures.",False,,
BPSC-Q-000013,2022,67th BPSC Mains,GS 2,Section I,3,38,English,Discuss the concept of Judicial Activism in India. Has the Supreme Court overstepped its jurisdiction in policy matters?,2,67thMainsGS2-2022.pdf,BPSC-SUB-02,Polity & Governance,0.95,two_pass_taxonomy_v1,"Question addresses Constitutional provisions, Judicial principles, or Governance structures.",False,,
BPSC-Q-000014,2022,67th BPSC Mains,GS 2,Section I,4,38,English,Examine the major challenges to internal security and federal harmony arising from regionalism and linguistic identity movements.,2,67thMainsGS2-2022.pdf,BPSC-SUB-02,Polity & Governance,0.95,two_pass_taxonomy_v1,"Question addresses Constitutional provisions, Judicial principles, or Governance structures.",False,,
BPSC-Q-000015,2022,67th BPSC Mains,GS 2,Section I,5,38,English,Discuss the key features of NITI Aayog's Multidimensional Poverty Index (MPI) report. What specific policy measures has Bihar undertaken to combat poverty?,2,67thMainsGS2-2022.pdf,BPSC-SUB-03,Indian & Bihar Economy,0.92,two_pass_taxonomy_v1,"Question concerns Indian & Bihar Economic Policy, Industrialization, or Poverty Alleviation.",False,,
BPSC-Q-000016,2022,67th BPSC Mains,GS 2,Section I,6,38,English,Analyze the industrial backwardness of Bihar. What measures are needed to attract private investment and promote agro-based industries?,2,67thMainsGS2-2022.pdf,BPSC-SUB-03,Indian & Bihar Economy,0.92,two_pass_taxonomy_v1,"Question concerns Indian & Bihar Economic Policy, Industrialization, or Poverty Alleviation.",False,,
BPSC-Q-000017,2022,67th BPSC Mains,GS 2,Section I,7,38,English,Explain the spatial distribution of natural resources in India and discuss the economic significance of the Chotanagpur plateau region before and after Bihar bifurcation.,2,67thMainsGS2-2022.pdf,BPSC-SUB-04,Geography & Disaster Management,0.92,two_pass_taxonomy_v1,"Question focuses on Geography, Natural Resources, Monsoon, or Disaster Management.",False,Indian & Bihar Economy,0.7
BPSC-Q-000018,2022,67th BPSC Mains,GS 2,Section I,8,38,English,"""Nuclear energy is a viable and clean alternative for meeting India's growing energy demand."" Discuss the progress, safety concerns, and prospects of India's three-stage nuclear power program.",2,67thMainsGS2-2022.pdf,BPSC-SUB-05,Science & Technology,0.95,two_pass_taxonomy_v1,Question examines Science & Technology applications in governance and national development.,False,,
BPSC-Q-000019,2022,67th BPSC Mains,GS 2,Section I,9,38,English,"How can Space Science and Remote Sensing Technology assist in flood prediction, crop damage assessment, and water resource management in Bihar?",2,67thMainsGS2-2022.pdf,BPSC-SUB-05,Science & Technology,0.95,two_pass_taxonomy_v1,Question examines Science & Technology applications in governance and national development.,False,,
BPSC-Q-000020,2022,67th BPSC Mains,GS 2,Section I,10,38,English,"Evaluate the role of Information Technology (IT) and e-governance initiatives (such as Bihar One Portal, RTPS) in transparent public administration.",2,67thMainsGS2-2022.pdf,BPSC-SUB-05,Science & Technology,0.95,two_pass_taxonomy_v1,Question examines Science & Technology applications in governance and national development.,False,,
BPSC-Q-000021,2023,68th BPSC Mains,GS 1,Section I,1,38,English,**Short Answer Questions (Compulsory - 38 Marks Total):**,3,68th-MainsGS-1.pdf,BPSC-SUB-01,"History, Art & Culture",0.78,two_pass_taxonomy_v1,Assigned default Subject domain based on general studies context; flagged for human review.,True,,
BPSC-Q-000022,2023,68th BPSC Mains,GS 1,Section I,Sub-a,8,English,Government of India Act 1858 and the transfer of power to the British Crown.,2,68th-MainsGS-1.pdf,BPSC-SUB-01,"History, Art & Culture",0.95,two_pass_taxonomy_v1,"Question addresses Indian and Bihar Freedom Movement, Art, Architecture, or History.",False,,
BPSC-Q-000023,2023,68th BPSC Mains,GS 1,Section I,Sub-b,8,English,"Mauryan Art and Architecture: Polish, pillared halls, and Asokan rock edicts in Bihar.",2,68th-MainsGS-1.pdf,BPSC-SUB-01,"History, Art & Culture",0.95,two_pass_taxonomy_v1,"Question addresses Indian and Bihar Freedom Movement, Art, Architecture, or History.",False,,
BPSC-Q-000024,2023,68th BPSC Mains,GS 1,Section I,Sub-c,8,English,"Santhal Rebellion (1855-56): Causes, leadership (Sidhu and Kanhu), and outcomes.",2,68th-MainsGS-1.pdf,BPSC-SUB-01,"History, Art & Culture",0.95,two_pass_taxonomy_v1,"Question addresses Indian and Bihar Freedom Movement, Art, Architecture, or History.",False,,
BPSC-Q-000025,2023,68th BPSC Mains,GS 1,Section I,Sub-d,7,English,Development of Technical Education in Bihar under British rule.,2,68th-MainsGS-1.pdf,BPSC-SUB-01,"History, Art & Culture",0.95,two_pass_taxonomy_v1,"Question addresses Indian and Bihar Freedom Movement, Art, Architecture, or History.",False,,
BPSC-Q-000026,2023,68th BPSC Mains,GS 1,Section I,Sub-e,7,English,Champaran Satyagraha (1917) and its impact on the freedom struggle.,2,68th-MainsGS-1.pdf,BPSC-SUB-01,"History, Art & Culture",0.95,two_pass_taxonomy_v1,"Question addresses Indian and Bihar Freedom Movement, Art, Architecture, or History.",False,,
BPSC-Q-000027,2023,68th BPSC Mains,GS 1,Section I,2,38,English,**Long Answer Question (History & Movement):**,3,68th-MainsGS-1.pdf,BPSC-SUB-01,"History, Art & Culture",0.95,two_pass_taxonomy_v1,"Question addresses Indian and Bihar Freedom Movement, Art, Architecture, or History.",False,,
BPSC-Q-000028,2023,68th BPSC Mains,GS 1,Section I,Sub-a,38,English,Critically examine the main causes of the 1857 Revolt in Bihar and evaluate the leadership of Babu Kunwar Singh.,2,68th-MainsGS-1.pdf,BPSC-SUB-01,"History, Art & Culture",0.95,two_pass_taxonomy_v1,"Question addresses Indian and Bihar Freedom Movement, Art, Architecture, or History.",False,,
BPSC-Q-000029,2023,68th BPSC Mains,GS 1,Section I,Sub-b,38,English,"Discuss the origin, growth, and contribution of the Bihar Congress Socialist Party and its leaders (Jayaprakash Narayan, Ram Manohar Lohia) during the freedom movement.",2,68th-MainsGS-1.pdf,BPSC-SUB-01,"History, Art & Culture",0.95,two_pass_taxonomy_v1,"Question addresses Indian and Bihar Freedom Movement, Art, Architecture, or History.",False,,
BPSC-Q-000030,2023,68th BPSC Mains,GS 1,Section I,3,38,English,**Long Answer Question (Art & Thinkers):**,3,68th-MainsGS-1.pdf,BPSC-SUB-01,"History, Art & Culture",0.78,two_pass_taxonomy_v1,Assigned default Subject domain based on general studies context; flagged for human review.,True,,
BPSC-Q-000031,2023,68th BPSC Mains,GS 1,Section I,Sub-a,38,English,"Describe the salient features of Mauryan caves and stupas in Bihar, and explain how Mauryan art reflected state ideology.",2,68th-MainsGS-1.pdf,BPSC-SUB-01,"History, Art & Culture",0.95,two_pass_taxonomy_v1,"Question addresses Indian and Bihar Freedom Movement, Art, Architecture, or History.",False,,
BPSC-Q-000032,2023,68th BPSC Mains,GS 1,Section I,Sub-b,38,English,"Trace the development of Rabindranath Tagore's ideas on nationalism, education (Visva-Bharati), and internationalism.",2,68th-MainsGS-1.pdf,BPSC-SUB-01,"History, Art & Culture",0.95,two_pass_taxonomy_v1,"Question addresses Indian and Bihar Freedom Movement, Art, Architecture, or History.",False,,
BPSC-Q-000033,2023,68th BPSC Mains,GS 1,Section I,4,38,English,**Short Answer Questions:**,3,68th-MainsGS-1.pdf,BPSC-SUB-01,"History, Art & Culture",0.78,two_pass_taxonomy_v1,Assigned default Subject domain based on general studies context; flagged for human review.,True,,
BPSC-Q-000034,2023,68th BPSC Mains,GS 1,Section I,Sub-a,8,English,"G20 Presidency: Strategic priorities of 'Vasudhaiva Kutumbakam' (One Earth, One Family, One Future).",2,68th-MainsGS-1.pdf,BPSC-SUB-06,Current Affairs & International Relations,0.95,two_pass_taxonomy_v1,"Question addresses International Relations, Contemporary Geopolitics, and Global Summits.",False,,
BPSC-Q-000035,2023,68th BPSC Mains,GS 1,Section I,Sub-b,8,English,"Quad (Quadrilateral Security Dialogue): Objectives, naval exercises, and maritime security in Indo-Pacific.",2,68th-MainsGS-1.pdf,BPSC-SUB-06,Current Affairs & International Relations,0.95,two_pass_taxonomy_v1,"Question addresses International Relations, Contemporary Geopolitics, and Global Summits.",False,,
BPSC-Q-000036,2023,68th BPSC Mains,GS 1,Section I,Sub-c,8,English,Russia-Ukraine Conflict: Implications for global energy security and India's neutral diplomatic posture.,2,68th-MainsGS-1.pdf,BPSC-SUB-06,Current Affairs & International Relations,0.95,two_pass_taxonomy_v1,"Question addresses International Relations, Contemporary Geopolitics, and Global Summits.",False,,
BPSC-Q-000037,2023,68th BPSC Mains,GS 1,Section I,Sub-d,7,English,Semiconductor Mission: India's policy incentives to establish indigenous semiconductor fabrication facilities.,2,68th-MainsGS-1.pdf,BPSC-SUB-06,Current Affairs & International Relations,0.95,two_pass_taxonomy_v1,"Question addresses International Relations, Contemporary Geopolitics, and Global Summits.",False,Science & Technology,0.75
BPSC-Q-000038,2023,68th BPSC Mains,GS 1,Section I,Sub-e,7,English,Digital Rupee (e-Rupee): RBI's Central Bank Digital Currency (CBDC) pilot and its financial benefits.,2,68th-MainsGS-1.pdf,BPSC-SUB-06,Current Affairs & International Relations,0.95,two_pass_taxonomy_v1,"Question addresses International Relations, Contemporary Geopolitics, and Global Summits.",False,Science & Technology,0.75
BPSC-Q-000039,2023,68th BPSC Mains,GS 1,Section I,5,38,English,**Long Answer Question:**,3,68th-MainsGS-1.pdf,BPSC-SUB-01,"History, Art & Culture",0.78,two_pass_taxonomy_v1,Assigned default Subject domain based on general studies context; flagged for human review.,True,,
BPSC-Q-000040,2023,68th BPSC Mains,GS 1,Section I,Sub-a,38,English,"Analyze India's Neighbourhood First Policy in the context of recent socio-political developments in Sri Lanka, Nepal, and Bangladesh.",2,68th-MainsGS-1.pdf,BPSC-SUB-06,Current Affairs & International Relations,0.95,two_pass_taxonomy_v1,"Question addresses International Relations, Contemporary Geopolitics, and Global Summits.",False,,
BPSC-Q-000041,2023,68th BPSC Mains,GS 1,Section I,6,72,English,"Data interpretation sets covering multi-year economic production indices, agricultural yield tables, and population demographics.",3,68th-MainsGS-1.pdf,BPSC-SUB-07,Statistical Analysis & Data Interpretation,0.98,two_pass_taxonomy_v1,Question requires Quantitative Data Interpretation and Statistical Analysis.,False,,
BPSC-Q-000042,2023,68th BPSC Mains,GS 2,Section I,1,38,English,**Short Answer Questions:**,3,68th_BPSC_MAINS_GS_PAPER-II.pdf,BPSC-SUB-01,"History, Art & Culture",0.78,two_pass_taxonomy_v1,Assigned default Subject domain based on general studies context; flagged for human review.,True,,
BPSC-Q-000043,2023,68th BPSC Mains,GS 2,Section I,Sub-a,8,English,Preamble of the Indian Constitution: How far does it embody the core vision of democratic socialism and secularism?,2,68th_BPSC_MAINS_GS_PAPER-II.pdf,BPSC-SUB-02,Polity & Governance,0.95,two_pass_taxonomy_v1,"Question addresses Constitutional provisions, Judicial principles, or Governance structures.",False,,
BPSC-Q-000044,2023,68th BPSC Mains,GS 2,Section I,Sub-b,8,English,Judicial Review vs. Judicial Activism: Boundary between judicial oversight and executive encroachment.,2,68th_BPSC_MAINS_GS_PAPER-II.pdf,BPSC-SUB-02,Polity & Governance,0.95,two_pass_taxonomy_v1,"Question addresses Constitutional provisions, Judicial principles, or Governance structures.",False,,
BPSC-Q-000045,2023,68th BPSC Mains,GS 2,Section I,Sub-c,8,English,Right to Privacy as a Fundamental Right (Puttaswamy Case 2017) under Article 21.,2,68th_BPSC_MAINS_GS_PAPER-II.pdf,BPSC-SUB-02,Polity & Governance,0.95,two_pass_taxonomy_v1,"Question addresses Constitutional provisions, Judicial principles, or Governance structures.",False,,
BPSC-Q-000046,2023,68th BPSC Mains,GS 2,Section I,Sub-d,7,English,Governor's Role: Controversies over legislative assent and reservation of bills for Presidential approval.,2,68th_BPSC_MAINS_GS_PAPER-II.pdf,BPSC-SUB-02,Polity & Governance,0.95,two_pass_taxonomy_v1,"Question addresses Constitutional provisions, Judicial principles, or Governance structures.",False,,
BPSC-Q-000047,2023,68th BPSC Mains,GS 2,Section I,Sub-e,7,English,Statutory Commissions: Structure and role of National Human Rights Commission (NHRC) and NITI Aayog.,2,68th_BPSC_MAINS_GS_PAPER-II.pdf,BPSC-SUB-02,Polity & Governance,0.95,two_pass_taxonomy_v1,"Question addresses Constitutional provisions, Judicial principles, or Governance structures.",False,,
BPSC-Q-000048,2023,68th BPSC Mains,GS 2,Section I,2,38,English,**Long Answer Question:**,3,68th_BPSC_MAINS_GS_PAPER-II.pdf,BPSC-SUB-01,"History, Art & Culture",0.78,two_pass_taxonomy_v1,Assigned default Subject domain based on general studies context; flagged for human review.,True,,
BPSC-Q-000049,2023,68th BPSC Mains,GS 2,Section I,Sub-a,38,English,"""Cooperative Federalism is the bedrock of Indian democracy, yet competitive friction persists."" Examine Centre-State relations in fiscal transfers, GST compensation, and central agency deployments.",2,68th_BPSC_MAINS_GS_PAPER-II.pdf,BPSC-SUB-02,Polity & Governance,0.95,two_pass_taxonomy_v1,"Question addresses Constitutional provisions, Judicial principles, or Governance structures.",False,,
