topic_id,topic_name,short_questions_count,long_questions_count,total_questions,short_percentage
GEOOPT-002,Human & Economic Geography Optional,4,276,280,1.43%
HIST-001,Freedom Movement & Revolts in Bihar,12,155,167,7.19%
ESSAY-001,General & Philosophical Reflections,0,26,26,0.00%
ECON-003,Agrarian Economy & Land Reforms,6,12,18,33.33%
POLITY-001,Executive (President & Governor),4,6,10,40.00%
POLITY-004,"Elections, Preamble & Constitutional Bodies",3,7,10,30.00%
POLITY-002,"Judiciary, Rights & Doctrines",5,4,9,55.56%
SCITECH-002,"IT, AI, 5G & E-Governance",6,3,9,66.67%
HIST-002,"Art, Architecture & Culture of Bihar",4,4,8,50.00%
STAT-001,Data Interpretation & Graphical Analysis,1,6,7,14.29%
HIST-005,National Thinkers & Social Visions,2,5,7,28.57%
HIST-004,Education & Political Consciousness,3,3,6,50.00%
HIST-003,"Peasant, Tribal & Worker Movements",3,3,6,50.00%
IR-001,Global Groupings & Multilateral Summits,5,1,6,83.33%
ESSAY-003,Bihar Proverbs & Cultural Expressions,0,6,6,0.00%
ECON-002,Industrial Promotion & Infrastructure,3,2,5,60.00%
GEO-003,Spatial Distribution of Natural Resources,2,3,5,40.00%
SCITECH-003,"Biotech, Nanotech & Clean Energy Tech",3,2,5,60.00%
IR-003,Emerging International & Strategic Issues,4,1,5,80.00%
ESSAY-002,Socio-Economic & Governance Themes,0,5,5,0.00%
IR-002,Foreign Policy & Neighborhood Diplomacy,2,2,4,50.00%
POLITY-003,Federalism & Centre-State Relations,2,2,4,50.00%
ECON-001,"Poverty, Income & MPI",1,3,4,25.00%
GEO-002,Disaster Management & Hydrology,2,2,4,50.00%
POLITY-005,Local Self-Government (Panchayati Raj),0,3,3,0.00%
SCITECH-001,Space Technology & Remote Sensing,2,1,3,66.67%
POLITY-006,Parliament & Legislative System,0,2,2,0.00%
GEO-001,Physical Geography & Indian Monsoon,1,0,1,100.00%
GEOOPT-001,Physical Geography Optional,0,1,1,0.00%
