student_id,iteration,selected_topic_id,selected_topic_name,selection_score
1,1,"POLITY-002","Judiciary, Rights & Doctrines",0.787
1,2,"POLITY-001","Executive (President & Governor)",0.755
1,3,"POLITY-004","Elections, Preamble & Constitutional Bodies",0.747
1,4,"POLITY-003","Federalism & Centre-State Relations",0.68
1,5,"POLITY-006","Parliament & Legislative System",0.65
1,6,"POLITY-005","Local Self-Government (Panchayati Raj)",0.62
1,7,"POLITY-002","Judiciary, Rights & Doctrines",0.547
1,8,"POLITY-001","Executive (President & Governor)",0.515
1,9,"POLITY-004","Elections, Preamble & Constitutional Bodies",0.507
1,10,"POLITY-003","Federalism & Centre-State Relations",0.44
1,11,"POLITY-006","Parliament & Legislative System",0.41
1,12,"POLITY-005","Local Self-Government (Panchayati Raj)",0.38
1,13,"POLITY-002","Judiciary, Rights & Doctrines",0.337
1,14,"POLITY-001","Executive (President & Governor)",0.305
1,15,"POLITY-004","Elections, Preamble & Constitutional Bodies",0.298
1,16,"POLITY-003","Federalism & Centre-State Relations",0.23
1,17,"POLITY-006","Parliament & Legislative System",0.2
1,18,"POLITY-005","Local Self-Government (Panchayati Raj)",0.17
1,19,"POLITY-002","Judiciary, Rights & Doctrines",0.077
1,20,"POLITY-001","Executive (President & Governor)",0.045
1,21,"POLITY-002","Judiciary, Rights & Doctrines",0.077
1,22,"POLITY-001","Executive (President & Governor)",0.045
1,23,"POLITY-002","Judiciary, Rights & Doctrines",0.077
1,24,"POLITY-001","Executive (President & Governor)",0.045
1,25,"POLITY-002","Judiciary, Rights & Doctrines",0.077
1,26,"POLITY-001","Executive (President & Governor)",0.045
1,27,"POLITY-002","Judiciary, Rights & Doctrines",0.077
1,28,"POLITY-001","Executive (President & Governor)",0.045
1,29,"POLITY-002","Judiciary, Rights & Doctrines",0.077
1,30,"POLITY-001","Executive (President & Governor)",0.045
2,1,"POLITY-002","Judiciary, Rights & Doctrines",0.787
2,2,"POLITY-001","Executive (President & Governor)",0.755
2,3,"POLITY-004","Elections, Preamble & Constitutional Bodies",0.747
2,4,"POLITY-003","Federalism & Centre-State Relations",0.68
2,5,"POLITY-006","Parliament & Legislative System",0.65
2,6,"POLITY-005","Local Self-Government (Panchayati Raj)",0.62
2,7,"POLITY-002","Judiciary, Rights & Doctrines",0.547
2,8,"POLITY-001","Executive (President & Governor)",0.515
