scenario,run_index,subject_id,subject_name,question_type,marks,history_input,selected_topic_id,selected_topic_name,score,freq_score,recency_score,qtype_score,marks_score,exposure_score,diversity_score,rep_penalty
"ColdStart",1,"BPSC-SUB-02","Polity & Governance","SHORT_ANSWER",5,"ColdStart","POLITY-002","Judiciary, Rights & Doctrines",0.787,0.96,0.55,0.78,0.2,1,1,0
"ColdStart",2,"BPSC-SUB-02","Polity & Governance","SHORT_ANSWER",5,"ColdStart","POLITY-002","Judiciary, Rights & Doctrines",0.787,0.96,0.55,0.78,0.2,1,1,0
"ColdStart",3,"BPSC-SUB-02","Polity & Governance","SHORT_ANSWER",5,"ColdStart","POLITY-002","Judiciary, Rights & Doctrines",0.787,0.96,0.55,0.78,0.2,1,1,0
"ColdStart",4,"BPSC-SUB-02","Polity & Governance","SHORT_ANSWER",5,"ColdStart","POLITY-002","Judiciary, Rights & Doctrines",0.787,0.96,0.55,0.78,0.2,1,1,0
"ColdStart",5,"BPSC-SUB-02","Polity & Governance","SHORT_ANSWER",10,"ColdStart","POLITY-002","Judiciary, Rights & Doctrines",0.787,0.96,0.55,0.78,0.2,1,1,0
"ColdStart",6,"BPSC-SUB-02","Polity & Governance","SHORT_ANSWER",10,"ColdStart","POLITY-002","Judiciary, Rights & Doctrines",0.787,0.96,0.55,0.78,0.2,1,1,0
"ColdStart",7,"BPSC-SUB-02","Polity & Governance","SHORT_ANSWER",10,"ColdStart","POLITY-002","Judiciary, Rights & Doctrines",0.787,0.96,0.55,0.78,0.2,1,1,0
"ColdStart",8,"BPSC-SUB-02","Polity & Governance","SHORT_ANSWER",10,"ColdStart","POLITY-002","Judiciary, Rights & Doctrines",0.787,0.96,0.55,0.78,0.2,1,1,0
"ColdStart",9,"BPSC-SUB-02","Polity & Governance","LONG_ANSWER",10,"ColdStart","POLITY-002","Judiciary, Rights & Doctrines",0.778,0.96,0.55,0.72,0.2,1,1,0
"ColdStart",10,"BPSC-SUB-02","Polity & Governance","LONG_ANSWER",10,"ColdStart","POLITY-002","Judiciary, Rights & Doctrines",0.778,0.96,0.55,0.72,0.2,1,1,0
"ColdStart",11,"BPSC-SUB-02","Polity & Governance","LONG_ANSWER",10,"ColdStart","POLITY-002","Judiciary, Rights & Doctrines",0.778,0.96,0.55,0.72,0.2,1,1,0
"ColdStart",12,"BPSC-SUB-02","Polity & Governance","LONG_ANSWER",10,"ColdStart","POLITY-002","Judiciary, Rights & Doctrines",0.778,0.96,0.55,0.72,0.2,1,1,0
"ColdStart",13,"BPSC-SUB-01","History, Art & Culture","SHORT_ANSWER",5,"ColdStart","HIST-001","Freedom Movement & Revolts in Bihar",0.73,1,0.4,0.53,0.2,1,1,0
"ColdStart",14,"BPSC-SUB-01","History, Art & Culture","SHORT_ANSWER",5,"ColdStart","HIST-001","Freedom Movement & Revolts in Bihar",0.73,1,0.4,0.53,0.2,1,1,0
"ColdStart",15,"BPSC-SUB-01","History, Art & Culture","SHORT_ANSWER",5,"ColdStart","HIST-001","Freedom Movement & Revolts in Bihar",0.73,1,0.4,0.53,0.2,1,1,0
"ColdStart",16,"BPSC-SUB-01","History, Art & Culture","SHORT_ANSWER",5,"ColdStart","HIST-001","Freedom Movement & Revolts in Bihar",0.73,1,0.4,0.53,0.2,1,1,0
"ColdStart",17,"BPSC-SUB-01","History, Art & Culture","LONG_ANSWER",38,"ColdStart","HIST-001","Freedom Movement & Revolts in Bihar",0.839,1,0.4,0.8,0.89,1,1,0
"ColdStart",18,"BPSC-SUB-01","History, Art & Culture","LONG_ANSWER",38,"ColdStart","HIST-001","Freedom Movement & Revolts in Bihar",0.839,1,0.4,0.8,0.89,1,1,0
"ColdStart",19,"BPSC-SUB-01","History, Art & Culture","LONG_ANSWER",38,"ColdStart","HIST-001","Freedom Movement & Revolts in Bihar",0.839,1,0.4,0.8,0.89,1,1,0
"ColdStart",20,"BPSC-SUB-01","History, Art & Culture","LONG_ANSWER",38,"ColdStart","HIST-001","Freedom Movement & Revolts in Bihar",0.839,1,0.4,0.8,0.89,1,1,0
"ColdStart",21,"BPSC-SUB-03","Economy","SHORT_ANSWER",5,"ColdStart","ECON-003","Agrarian Economy & Land Reforms",0.753,1,0.4,0.69,0.2,1,1,0
"ColdStart",22,"BPSC-SUB-03","Economy","SHORT_ANSWER",5,"ColdStart","ECON-003","Agrarian Economy & Land Reforms",0.753,1,0.4,0.69,0.2,1,1,0
"ColdStart",23,"BPSC-SUB-03","Economy","SHORT_ANSWER",5,"ColdStart","ECON-003","Agrarian Economy & Land Reforms",0.753,1,0.4,0.69,0.2,1,1,0
"ColdStart",24,"BPSC-SUB-03","Economy","SHORT_ANSWER",5,"ColdStart","ECON-003","Agrarian Economy & Land Reforms",0.753,1,0.4,0.69,0.2,1,1,0
"ColdStart",25,"BPSC-SUB-03","Economy","LONG_ANSWER",38,"ColdStart","ECON-003","Agrarian Economy & Land Reforms",0.819,1,0.4,0.81,0.67,1,1,0
"ColdStart",26,"BPSC-SUB-03","Economy","LONG_ANSWER",38,"ColdStart","ECON-003","Agrarian Economy & Land Reforms",0.819,1,0.4,0.81,0.67,1,1,0
"ColdStart",27,"BPSC-SUB-03","Economy","LONG_ANSWER",38,"ColdStart","ECON-003","Agrarian Economy & Land Reforms",0.819,1,0.4,0.81,0.67,1,1,0
"ColdStart",28,"BPSC-SUB-03","Economy","LONG_ANSWER",38,"ColdStart","ECON-003","Agrarian Economy & Land Reforms",0.819,1,0.4,0.81,0.67,1,1,0
"ColdStart",29,"BPSC-SUB-04","Geography","LONG_ANSWER",10,"ColdStart","GEO-002","Disaster Management & Hydrology",0.797,0.9,0.7,0.75,0.2,1,1,0
"ColdStart",30,"BPSC-SUB-04","Geography","LONG_ANSWER",10,"ColdStart","GEO-002","Disaster Management & Hydrology",0.797,0.9,0.7,0.75,0.2,1,1,0
"ColdStart",31,"BPSC-SUB-04","Geography","LONG_ANSWER",10,"ColdStart","GEO-002","Disaster Management & Hydrology",0.797,0.9,0.7,0.75,0.2,1,1,0
"ColdStart",32,"BPSC-SUB-04","Geography","LONG_ANSWER",10,"ColdStart","GEO-002","Disaster Management & Hydrology",0.797,0.9,0.7,0.75,0.2,1,1,0
"ColdStart",33,"BPSC-SUB-05","Science & Technology","SHORT_ANSWER",5,"ColdStart","SCITECH-002","IT, AI, 5G & E-Governance",0.805,1,0.55,0.83,0.2,1,1,0
